leg_front_r_1,leg_front_r_2,leg_front_r_3,leg_front_l_1,leg_front_l_2,leg_front_l_3,leg_back_r_1,leg_back_r_2,leg_back_r_3,leg_back_l_1,leg_back_l_2,leg_back_l_3
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
0.370000,0.054936,-1.600000,-0.460000,-0.081613,1.600000,-0.884100,-0.071576,0.130000,0.978051,-0.050000,-0.182415
