leg_front_r_1,leg_front_r_2,leg_front_r_3,leg_front_l_1,leg_front_l_2,leg_front_l_3,leg_back_r_1,leg_back_r_2,leg_back_r_3,leg_back_l_1,leg_back_l_2,leg_back_l_3
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
0.847620,0.001912,-1.600000,-0.840128,0.001140,1.454182,0.715546,0.018697,-1.600000,-0.655437,-0.113138,1.600000
